,Address,Price,Beds,Baths,Location,All_Text
260,99 Harvest Moon Dr,"$1,100,000 CAD",3 beds,3 baths,"

Caledon
Bolton West
Harvest Moon Dr


(  )
- BTC

","

99 Harvest Moon Dr
$1,100,000 CAD
3 baths
3 beds



Caledon
Bolton West
Harvest Moon Dr


(  )
- BTC


Huge Lot - Idea For An Inground Pool,  Create Your Backyard Oasis.  Open And Bright Space, Huge Potential.  Close To Parks And  School .  With Your Personal Touches A Nice Place To Call Home. Elfs, Washer, Dryer, Stove, B/I Dishwasher , S/S Fridge, Roof In 2018,


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
261,150 Voltarie Cres,"$999,000 CAD",3+2 beds,2 baths,"

Mississauga
Mississauga Valleys
Voltarie Cres


(  )
- BTC

","

150 Voltarie Cres
$999,000 CAD
2 baths
3+2 beds



Mississauga
Mississauga Valleys
Voltarie Cres


(  )
- BTC


Spacious Renovated Semi Located In Central Family Friendly Mississauga Location Close To All Amenities, Parks And Transportation.Enjoy The Amazing Extra Large Backyard.Separate Entrance To A Self Contained Basement Apt Unit!!Income Potential! No Neighbors At The Back...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
262,66 Ludstone Dr,"$1,100,000 CAD",3 beds,3 baths,"

Toronto
Willowridge-Martingrove-Richview
Ludstone Dr


(  )
- BTC

","

66 Ludstone Dr
$1,100,000 CAD
3 baths
3 beds



Toronto
Willowridge-Martingrove-Richview
Ludstone Dr


(  )
- BTC


Modern Spacious 3Br 3 Full Bath Bungalow With A Modern Kitchen .In A Very High Demand Area Of Etobicoke ,Primary Bedroom Has Ensuite Washroom. New Furnace 2022 ,Ac & Roof 2019 . An Open Concept Basement With Pot Lights Throughout . Large Lot 59 X 110 Ft , Large...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
263,1196 Stanley Dr,"$999,000 CAD",3 beds,1 baths,"

Burlington
Mountainside
Stanley Dr


(  )
- BTC

","

1196 Stanley Dr
$999,000 CAD
1 baths
3 beds



Burlington
Mountainside
Stanley Dr


(  )
- BTC


Attention Investors/First Home Buyers Or Those Looking For A Mortgage Helper! This Ideally Located, 3-Bedroom Bungalow With Separate Entrance Is Close To The Highway, Shopping And Is Only A Short Drive Away From Downtown And The Lake. On The Main Level, You Will Find...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
264,24 Rothsay Ave,"$1,398,000 CAD",2+2 beds,2 baths,"


Stonegate-Queensway
Rothsay Ave


(  )
- BTC

","

24 Rothsay Ave
$1,398,000 CAD
2 baths
2+2 beds




Stonegate-Queensway
Rothsay Ave


(  )
- BTC


Check 3D Tour! Stunning Bungalow With Top Notch Upgrades Throughout. Ideal For Downsize Or Young Professional Couple. Elegant Liv/Din Room, Gourmet Kitchen W/ Large Island And High End Appliances. French Door Walk Out To Charming Backyard W/ Professional Landscaping...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
265,17583 Humber Station Rd,"$2,699,000 CAD",2+2 beds,3 baths,"


Rural Caledon
Humber Station Rd


(  )
- BTC

","

17583 Humber Station Rd
$2,699,000 CAD
3 baths
2+2 beds




Rural Caledon
Humber Station Rd


(  )
- BTC


Set On 4 Picturesque Acres Enjoy The Surrounding Nature And Private Views. This Unique Custom Bult Home W/Immac Curb Appeal & Landscpd Grnds.A Charming Long Driveway Leads To The Home Than Shows True Pride Of Ownership And Ftrs: Cathedral Ceilings,Home Has Multiple W...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
266,411 Veterans Dr,"$1,349,900 CAD",3 beds,4 baths,"

Brampton
Brampton North
Veterans Dr


(  )
- BTC

","

411 Veterans Dr
$1,349,900 CAD
4 baths
3 beds



Brampton
Brampton North
Veterans Dr


(  )
- BTC


Newly Renovated, Carpet Free W/ Lots Of Pot Lights (New), Spacious Freehold Townhouse, Full Of Natural Light. Rare Oppurtunity To Live/Work In Merchant Model In The Best Location In Brampton. Ground Level Has An Office/Retail Space With 2 Pc Washroom. Already Rented...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
267,643 Lomond Cres,"$789,900 CAD",3 beds,2 baths,"


Shoreacres
Lomond Cres


(  )
- BTC

","

643 Lomond Cres
$789,900 CAD
2 baths
3 beds




Shoreacres
Lomond Cres


(  )
- BTC


What A Great Opportunity To Own In This Family Friendly Neighbourhood. Large Lot W/ Extra Parking, Backing Onto Green Space And The Centennial Bikeway. The Back Yard Has Plenty Of Space For The Kids To Play, Mature Trees Provide Shade On Hot Summer Days, A Covered Deck...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
268,75 Elder Ave 51,"$1,199,000 CAD",3 beds,2 baths,"


Long Branch
Elder Ave


(  )
- BTC

","

75 Elder Ave 51
$1,199,000 CAD
2 baths
3 beds




Long Branch
Elder Ave


(  )
- BTC


Stunning Exec Townhome In Highly Sought After Area Of Long Branch.Prime South Etobicoke Location! Car Lift In Garage For 2 Car Parking.?short Drive To Lakeshore And Mimico Go Station, Close To Schools, Parks And Shopping.?huge Spa-Like Master Bath. Private Rooftop...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
269,31 Pendulum Circ,"$1,199,900 CAD",4 beds,4 baths,"


Sandringham-Wellington
Pendulum Circ


(  )
- BTC

","

31 Pendulum Circ
$1,199,900 CAD
4 baths
4 beds




Sandringham-Wellington
Pendulum Circ


(  )
- BTC


Gorgeous 4 Bdrm Freehold End-Unit Town Home In Beautiful Quiet Area, Located In One Of The Most Anticipated Neighbourhood In Brampton, Mins To Hwy 410. Open Concept, Pot Lights, 9Ft Ceiling & Hardwd Flrs On Main Flr,Curve Oak Staircase & Large Kitchen W/Breakfast Bar...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
270,37 Spotted Owl Cres,"$1,599,900 CAD",4+2 beds,5 baths,"


Northwest Sandalwood Parkway
Spotted Owl Cres


(  )
- BTC

","

37 Spotted Owl Cres
$1,599,900 CAD
5 baths
4+2 beds




Northwest Sandalwood Parkway
Spotted Owl Cres


(  )
- BTC


Immaculate Home & Very Well Maintained By Owners !! 4 Bedrooms & 5 Washrooms Detached House With 2 Bedroom Separate Entrance Basement High Ceiling Foyer With Spacious Living, Dinning & Family Room With Ample Sunlight Throughout The Day. Modern Kitchen With Center...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
271,705 Ferguson Dr,"$1,249,000 CAD",3+1 beds,4 baths,"

Milton
Beaty
Ferguson Dr


(  )
- BTC

","

705 Ferguson Dr
$1,249,000 CAD
4 baths
3+1 beds



Milton
Beaty
Ferguson Dr


(  )
- BTC


Step Into This Gorgeous One Of A Kind 3 Bedrm Home In High Demand Family Oriented Area Loaded With Huge Upgrades And Just Painted. A Quiet Walk 2 Numerous Parks, Schools, Public Transit & More. Sunlight Filled Open Concept, High End Hardwood Floors Thruout. Wood Stairs...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
272,107 Meadow Dr,"$899,900 CAD",4 beds,3 baths,"

Orangeville
Orangeville
Meadow Dr


(  )
- BTC

","

107 Meadow Dr
$899,900 CAD
3 baths
4 beds



Orangeville
Orangeville
Meadow Dr


(  )
- BTC


Welcome To This 4 Bedroom Brick House Backing Onto Green Space & Located In One Of Orangeville's Most Established, Popular And Sought After Neighborhoods! Short Walk To Parks, Schools And Downtown Orangeville. Large Rooms, Wood Fireplace, 2 Car Garage, On Ground Pool...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
273,45 Nevillle Cres,"$1,249,900 CAD",4 beds,3 baths,"


Westgate
Nevillle Cres


(  )
- BTC

","

45 Nevillle Cres
$1,249,900 CAD
3 baths
4 beds




Westgate
Nevillle Cres


(  )
- BTC


Absolutely Stunning Renovated Home With Spectacular Craftsmanship In Brampton's Prime Area, Bright & Spacious 4 Bdrm Carpetless Home With Hardwood Throughout! Fantastic Layout With Premium Pool Size Lot! Main Flr Complete With Grand Foyer, Gourmet Family Size Kitchen...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
274,438 Maple Ave,"$3,499,500 CAD",4+1 beds,5 baths,"

Oakville
Old Oakville
Maple Ave


(  )
- BTC

","

438 Maple Ave
$3,499,500 CAD
5 baths
4+1 beds



Oakville
Old Oakville
Maple Ave


(  )
- BTC


Spectacular Magazine Worthy Show Home In Old Oakville. Simply Perfect In Every Way. 10 Ft Ceilings On Main & 2nd. Gorgeous American Walnut Flrs, Exquisite Millwork & Finishings, Gourmet Kitchen, Servery & Applncs + W/O To Covered Rear Terrace.  Grand Primary Bdrm Suite...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
275,1145 Treetop Terr,"$1,149,000 CAD",3+1 beds,4 baths,"


West Oak Trails
Treetop Terr


(  )
- BTC

","

1145 Treetop Terr
$1,149,000 CAD
4 baths
3+1 beds




West Oak Trails
Treetop Terr


(  )
- BTC


Rarely Offered End Unit Town House In Prestigious Westoak Trails. 3+1 Bedrooms/3.5 Bath. Minutes To The Oakville Hospital, Grocery, Go Station And Highways. Great School District, Steps To 16 Mile Creek Park. 1 Car Garage And 2 Car Driveway. Lots Of Windows, Freshly...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
276,5 Blackberry Valley Cres,"$1,299,000 CAD",3 beds,3 baths,"



Blackberry Valley Cres


(  )
- BTC

","

5 Blackberry Valley Cres
$1,299,000 CAD
3 baths
3 beds





Blackberry Valley Cres


(  )
- BTC


Situated In The Highly Coveted Family Friendly Neighborhood Of Rural Caledon. This Modern All Brick Home Is Thoughtfully Upgraded , Bright & Excellently Maintained From Top To Bottom, 9 Ft Ceilings On The Main Floor, Laminate Flooring & Oak Staircase, Gourmet Kitchen...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
277,5 Darlington Cres,"$999,999 CAD",3 beds,2 baths,"


Southgate
Darlington Cres


(  )
- BTC

","

5 Darlington Cres
$999,999 CAD
2 baths
3 beds




Southgate
Darlington Cres


(  )
- BTC


Gorgeous & Spacious Move-In-Condition 3 Bdrm Fully Brick 3 Level Backsplit Semi On A Large Lot In Very Demanding Location Of Bramalea Go Station**Professionally Renovated Bsmt W/Open Concept & 3 Pc Bath**Modern Kitchen W/S.S App, Granite Counter & Backsplash**Gleaming...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
278,143 Arleta Ave,"$890,000 CAD",3 beds,2 baths,"


Glenfield-Jane Heights
Arleta Ave


(  )
- BTC

","

143 Arleta Ave
$890,000 CAD
2 baths
3 beds




Glenfield-Jane Heights
Arleta Ave


(  )
- BTC


Great Opportunity For Renovators And Diyers. Families Will Love The Extra Deep 155Ft Lot With Fully Fenced Backyard. Double Garage With Entry To Basement + 4-Car Parking In Driveway. This Large Raised Bungalow Is A Good Design For Basement In-Law Suite. Basement...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
279,30 Meadowlark Dr,"$1,199,000 CAD",3+2 beds,4 baths,"


Fletcher's Creek South
Meadowlark Dr


(  )
- BTC

","

30 Meadowlark Dr
$1,199,000 CAD
4 baths
3+2 beds




Fletcher's Creek South
Meadowlark Dr


(  )
- BTC


Beautiful, Detached, All Brick,3 Bedrooms,4 Washrooms,2 Bedroom Finish Basement With Separate Entrance. Sep Living And Family ,New(Steel Appliances, Hardwood Floor),New Garage Door ,Front Door And Backyard Door ,Windows Are Replaced .Border Of Brampton And Mississauga...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
280,1553 Waterdown Rd,"$1,299,900 CAD",5 beds,2 baths,"

Burlington
Grindstone
Waterdown Rd


(  )
- BTC

","

1553 Waterdown Rd
$1,299,900 CAD
2 baths
5 beds



Burlington
Grindstone
Waterdown Rd


(  )
- BTC


Paradise In The City! Oversized Ravine Lot. 5 Bed Family Home, Features: 2 Beds On Main Floor, 4 Pc Bath, Kitchen, Living Rm; 2nd Floor 3 Beds, Kitchen & 4 Pc Bath. Finished Ground Level Basement, Bright Large Windows On Each Side Of Gas Fireplace, Double Car Garage...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
281,441 Wedgewood Dr,"$4,150,000 CAD",4+1 beds,5 baths,"

Oakville
Eastlake
Wedgewood Dr


(  )
- BTC

","

441 Wedgewood Dr
$4,150,000 CAD
5 baths
4+1 beds



Oakville
Eastlake
Wedgewood Dr


(  )
- BTC


Masterful Designed Custom Executive Home In Sought-After Morrison, Minutes Walk To Top Rated Ot/Ej Schls,Over 1/4 Acre Large R2 Premium Lot, 4225Sf Above Grade Luxury Exquisite Finishes Thru-Out,Fabulous Open Concept, Entertain In Grand Style In The Family Room Graced...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
282,2340 Britannia Rd,"$1,695,000 CAD",3+1 beds,3 baths,"


Rural Burlington
Britannia Rd


(  )
- BTC

","

2340 Britannia Rd
$1,695,000 CAD
3 baths
3+1 beds




Rural Burlington
Britannia Rd


(  )
- BTC


Only Once In A Lifetime Does A Property Of This Caliber Hit The Market. 1.37 Acre Lot W/ Towering Trees. Over 3,000 Sqft Of Finished Living Space. Eat-In Kitchen W/ Dinette, Formal Living/Dining Room. 4 Bed W/ 2 Additional Rooms, Endless Possibilities! Huge Fam. Room...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
283,73 Sparta Dr,"$1,599,000 CAD",4+2 beds,4 baths,"

Brampton
Vales of Castlemore
Sparta Dr


(  )
- BTC

","

73 Sparta Dr
$1,599,000 CAD
4 baths
4+2 beds



Brampton
Vales of Castlemore
Sparta Dr


(  )
- BTC


A Beautiful Home In The Vales Of Castlemore. Tastefully Renovated Upgraded Eat-In Kitchen W/Floating Island. Large W/I Pantry W/Shelves, Pot Lights. Breakfast Area W/O To Back Yard. Gas Fireplace In Family Room. Huge Fenced Backyard On A Pie Shaped Lot. Concrete Patio...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
284,4 Myrtle Crt,"$949,900 CAD",3 beds,3 baths,"


Central Park
Myrtle Crt


(  )
- BTC

","

4 Myrtle Crt
$949,900 CAD
3 baths
3 beds




Central Park
Myrtle Crt


(  )
- BTC


Welcome Home To 4 Myrtle Court! Amazing Location Nestled B/W Trinity Commons, William Osler Hospital, Ching Park & Right Next To Mackay Plaza! Huge Backyard W/ New Concrete Pad Backing Directly Onto Massey Park W/ A Bike/Walking Trail Directly Connected To Ching Park...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
285,44 Jordensen Dr,"$1,199,999 CAD",4 beds,4 baths,"


Credit Valley
Jordensen Dr


(  )
- BTC

","

44 Jordensen Dr
$1,199,999 CAD
4 baths
4 beds




Credit Valley
Jordensen Dr


(  )
- BTC


Gorgeous & Spotless, Impressive Layout 4 Bedrooms & 4 Washrooms With Finished Basement No Neighbour At Front On A Corner Lot Offering Sepratefamily & Living Room New Kitchen With Quatz Counter Top. New Upgraded Washrooms On Second Floor, Oak Stair Case, M/F 9 Ft...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
286,27 Redfinch Way,"$1,079,000 CAD",3+1 beds,3 baths,"


Fletcher's Meadow
Redfinch Way


(  )
- BTC

","

27 Redfinch Way
$1,079,000 CAD
3 baths
3+1 beds




Fletcher's Meadow
Redfinch Way


(  )
- BTC


Absolutely Stunning, Detached Home ! Well Kept Well Maintained.Formal Living/Dining Combined  W/ Hardwood Floors .Separate Family Room W/ Gas Fireplace .Open Concept .Kitchen W/ Ample Storage, Quartz Counter Top, Backsplash ,W/O To Custom Built Deck  Above Ground Pool...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
287,19 Mayfair Cres,"$999,000 CAD",3 beds,2 baths,"



Mayfair Cres


(  )
- BTC

","

19 Mayfair Cres
$999,000 CAD
2 baths
3 beds





Mayfair Cres


(  )
- BTC


3 Bed Raised Bungalow In Great Location In Quiet Area. Near To School, Hospital, Hwy 410,403,407, Airport, Transit, Bramalea Trinity Centre. Bright Family Size Eat-In Kit/Appl, Loads Of Cupboards & Pantry, Large Formal Comb Lr/Dr & 3 Good Sized Bed Rms On Main Floor...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
288,53 Cavendish Cres,"$1,099,900 CAD",3+2 beds,3 baths,"


Avondale
Cavendish Cres


(  )
- BTC

","

53 Cavendish Cres
$1,099,900 CAD
3 baths
3+2 beds




Avondale
Cavendish Cres


(  )
- BTC


Location Location Location!! Cavendish On The Park 3+2 Bed, 3 Bath Raised Bungalow That Backs Onto Green Space. This Natural Gas Heated Home Features An O/C Living/Dining On Main, Eat-In Kitchen W/ Granite Counter Tops. Master Bed W/ Wic, New Modern 4Pc Bathroom...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
289,342 Wisteria Way,"$1,688,000 CAD",4 beds,3 baths,"


Rural Oakville
Wisteria Way


(  )
- BTC

","

342 Wisteria Way
$1,688,000 CAD
3 baths
4 beds




Rural Oakville
Wisteria Way


(  )
- BTC


6 Years Mattamy ""Trillium"" Home Located In Friendly Quiet Neighborhood Of Preserve Community. Functional Layout With Office. Upgraded Extended Kitchen. 9' Ceiling With Pot Lights. Well Maintained. Fresh Painting. Hard Wood And Porcelain Floor. Spacious 4 Bedrooms...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
290,81 Princess St,"$799,900 CAD",2+2 beds,2 baths,"

Orangeville
Orangeville
Princess St


(  )
- BTC

","

81 Princess St
$799,900 CAD
2 baths
2+2 beds



Orangeville
Orangeville
Princess St


(  )
- BTC


Spacious Family Home On Mature, Fully Fenced 50'X150' Lot. Featuring Beautiful Fruit Bearing Apple Trees. Main Floor Currently Has 2 Large Bedrooms, Breakfast Area Could Easily Be Converted Into 3rd Bedroom. Two Additional Bedrooms In Finished Basement. Huge Storage...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
291,2455 Belt Lane 6,"$950,000 CAD",3 beds,3 baths,"


Glen Abbey
Belt Lane


(  )
- BTC

","

2455 Belt Lane 6
$950,000 CAD
3 baths
3 beds




Glen Abbey
Belt Lane


(  )
- BTC


Welcome To The ""Hutton"" Model By Hallet Homes In The Sought-After Glen Abbey Encore Community. No Expense Was Spared Or Detail Missed When Designing This Executive Townhome. Top-Of-The-Line Everything. Laundry On Third Floor. Smart Home/Alarm Monitoring On Your Phone...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
292,7375 Sills Rd,"$1,199,999 CAD",4+1 beds,3 baths,"

Mississauga
Malton
Sills Rd


(  )
- BTC

","

7375 Sills Rd
$1,199,999 CAD
3 baths
4+1 beds



Mississauga
Malton
Sills Rd


(  )
- BTC


Detached Two Story 62 X 120 Big Lot With 4 Bedroom,3 Bath, 2 Car Garage, Finished Basement With Side Entrance Good Extra Rental Income, New Ac (2020),Roof (2017).Don ,T Miss It . Close To All Major Hwys 427,407,401. Attention Investors, Contractors And Flippers Rent It...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
293,2009 Delaney Dr,"$1,550,000 CAD",4 beds,3 baths,"


Clarkson
Delaney Dr


(  )
- BTC

","

2009 Delaney Dr
$1,550,000 CAD
3 baths
4 beds




Clarkson
Delaney Dr


(  )
- BTC


Your Clarkson Opportunity Awaits! On A Tree Lined Family Friendly Street In The Lorne Park School District Sits A Stunning Entertainers Paradise On A Large Corner Lot.This Gorgeous Backsplit 3 Has Been Reno'd Thruout,Accentuated By Its Sun Filled Ew Exp.Enjoy Summers W...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
294,5712 Old School Rd,"$2,699,000 CAD",5 beds,3 baths,"

Caledon
Rural Caledon
Old School Rd


(  )
- BTC

","

5712 Old School Rd
$2,699,000 CAD
3 baths
5 beds



Caledon
Rural Caledon
Old School Rd


(  )
- BTC


Gorgeous/Well Kept Fully Renovated Bungalow With 5 Beds/3 Baths, Over 400K Of Upgrades. Fully Upgraded Quartz Kitchen With Sep Pantry And B/I Appliances, Bedrooms, Upgraded Bathrooms With Quartz Counter Tops, Main Floor Laundry With Sink, Engineered Laminate Flooring...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
295,1469 Broadmoor Ave,"$4,399,000 CAD",5 beds,4 baths,"


Mineola
Broadmoor Ave


(  )
- BTC

","

1469 Broadmoor Ave
$4,399,000 CAD
4 baths
5 beds




Mineola
Broadmoor Ave


(  )
- BTC


A Rare Opportunity Unlike Any W/6,500 + Sqft Of Lux Living. Situated On A Magnificent Corner Lot, Nestled Amidst The Grace & Charm Of Mississauga's Excl Mineola N/Hood. This Open Concept, Lux Appointed Home Feat The Highest Qlty Fin & Expert Craftsmanship. Feat 5 Large...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
296,12 Perdita Rd,"$1,395,000 CAD",3+1 beds,5 baths,"


Bram West
Perdita Rd


(  )
- BTC

","

12 Perdita Rd
$1,395,000 CAD
5 baths
3+1 beds




Bram West
Perdita Rd


(  )
- BTC


This Is A Very Large Home And Possibly One Of The Most Upgraded Places You'll Come Across. Approx 2,650Sqft Of Luxury Plus An Additional 600Sqft Of Basement Finished By The Builder. Upgraded Hardwood Floors On The Main Level And Staircase. Giant High Ceiling Foyer...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
297,12 Valleypark Cres,"$1,250,000 CAD",6 beds,4 baths,"



Valleypark Cres


(  )
- BTC

","

12 Valleypark Cres
$1,250,000 CAD
4 baths
6 beds





Valleypark Cres


(  )
- BTC


Amazing Opportunity To Own Or Invest On An Amazing Detached Bungalow Double Car Garage On Premium Ravine Lot. Sep Entrance To Legal Finished Basement. In A Friendly Neighbourhood***One Of The Best Areas Of Brampton*Combined Living/Diving*Main Floor Features Open...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
298,78 Wildberry Cres,"$1,199,999 CAD",3+1 beds,4 baths,"


Sandringham-Wellington
Wildberry Cres


(  )
- BTC

","

78 Wildberry Cres
$1,199,999 CAD
4 baths
3+1 beds




Sandringham-Wellington
Wildberry Cres


(  )
- BTC


Detach Home For The Price Of  Semi 3 Bedrooms 4 Washrooms In High Demand Area, Separate Living And Family Room, Hardwood Floor Main, New Kitchen, Quartz Countertop, Ss Appliances, Pot Light, Concrete Around The House, Entrance From The Garage To House, Separate Side...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
299,5183 Severn Pines Cres,"$699,900 CAD",2 beds,1 baths,"

Severn
Washago
Severn Pines Cres


(  )
- BTC

","

5183 Severn Pines Cres
$699,900 CAD
1 baths
2 beds



Severn
Washago
Severn Pines Cres


(  )
- BTC


Dreaming Of Waterfront Ownership? Here's Your Chance To Make Your Dreams Come True! Nestled On A Peaceful Section Of The Severn River Just Minutes From Washago, A Short Drive To All The Amenities Of Orillia, 3 Bedrm Bungalow (3rd Bdrm Used As Laundry Rm) Offers Year...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
300,288 Steeles Line,"$2,799,000 CAD",4 beds,3 baths,"

Severn
Rural Severn
Steeles Line


(  )
- BTC

","

288 Steeles Line
$2,799,000 CAD
3 baths
4 beds



Severn
Rural Severn
Steeles Line


(  )
- BTC


Spectacular Opportunity To Purchase An Operating Livestock Farm, Property To Operate Your Business Or The Perfect Home For Those Seeking Privacy. This Nearly 50-Acre Property Features A Custom-Built 3100+ Sq/Ft Home With A 3 Car Garage And Mezzanine. A Brand New 80'X40...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
301,273 Franklin St,"$614,900 CAD",3+3 beds,2 baths,"

Orillia
Orillia
Franklin St


(  )
- BTC

","

273 Franklin St
$614,900 CAD
2 baths
3+3 beds



Orillia
Orillia
Franklin St


(  )
- BTC


Solid Raised Bungalow In Desirable Orillia Neighbourhood. This Fully Finished Home Offers 3 Generous Sized Bedrms On The Main Lvl W/Open Concept Living/Dining Rms, Bright Kitchen & Full Bth. The Fully Finished Lower Level Offers Separate Entrance, 3 Additional Bedrms...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
302,2 Middleport Dr,"$749,900 CAD",2+1 beds,3 baths,"

Wasaga Beach
Wasaga Beach
Middleport Dr


(  )
- BTC

","

2 Middleport Dr
$749,900 CAD
3 baths
2+1 beds



Wasaga Beach
Wasaga Beach
Middleport Dr


(  )
- BTC


Turn Key With Nothing To Do!An Amazing Find That Has Been Freshened And Done,Top To Bottom.This Beautiful Bungalow Has Plenty 2 Offer.Listed As A 3 Bdrm, It Has A Den In The Bsmt Currently An Office, But With A Minor Reno Could Easily Be Converted Into A 4th Bdrm.The...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
303,125 Second Ave,"$1,849,000 CAD",4 beds,4 baths,"

Uxbridge
Uxbridge
Second Ave


(  )
- BTC

","

125 Second Ave
$1,849,000 CAD
4 baths
4 beds



Uxbridge
Uxbridge
Second Ave


(  )
- BTC


Offers Welcome Anytime. Premium Lot With One Of The Largest Models In The Community! Gorgeous Main Floor W/ Vaulted Ceilings In The Living Room, Separate Office, Eat In Kitchen With Walkout To Patio, Family Room W/ Fireplace & Dining Room. 4 Large Bedrooms On The Upper...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
304,297 Dalhousie St,"$845,000 CAD",2+1 beds,2 baths,"

Vaughan
West Woodbridge
Dalhousie St


(  )
- BTC

","

297 Dalhousie St
$845,000 CAD
2 baths
2+1 beds



Vaughan
West Woodbridge
Dalhousie St


(  )
- BTC


Spacious, Luxurious **End Unit** Townhouse With Garage. Spent $$$ On Upgrades! Feels Like Semi Detached. Huge Windows, Balcony Off To Living Room, Stainless Steel Appliances, Quartz Counter Tops, Backslash, Breakfast Bar, Oak Stairs Plus Central Air Conditioning...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
305,68 Oakridge Crt,"$749,900 CAD",3 beds,3 baths,"

East Gwillimbury
Holland Landing
Oakridge Crt


(  )
- BTC

","

68 Oakridge Crt
$749,900 CAD
3 baths
3 beds



East Gwillimbury
Holland Landing
Oakridge Crt


(  )
- BTC


Gorgeous End Unit Townhome In Holland Landing! This Family Home Is Complete With 3 Large Bedrooms, 2.5 Bathrooms, And Separate Entrance To A Fully Finished Basement Which Would Make An Ideal In-Law Suite. The Living Room Leads Out To A Great Sized Backyard That Backs...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
306,46 Starr Cres,"$1,349,000 CAD",4 beds,3 baths,"

Aurora
Bayview Northeast
Starr Cres


(  )
- BTC

","

46 Starr Cres
$1,349,000 CAD
3 baths
4 beds



Aurora
Bayview Northeast
Starr Cres


(  )
- BTC


Opportunity Knocks! Large 48.66 X 111.25 Lot With No Sidewalk. Corner House Provides Lots Of Natural Sunlight. This Is A Linked Detached Home Only Connected At The 2 Car Garage.  Large 4 Bed 3 Bath Home With Seperate Office And Den. Kitchen Walks Out To Interlock Patio...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
307,44 Bawden Dr,"$1,290,000 CAD",3 beds,4 baths,"

Richmond Hill
Rural Richmond Hill
Bawden Dr


(  )
- BTC

","

44 Bawden Dr
$1,290,000 CAD
4 baths
3 beds



Richmond Hill
Rural Richmond Hill
Bawden Dr


(  )
- BTC


Located In The Highly Demanded Richland Community. Approx 2,700Sqft. Large Rec. Rm On G/Fl W/Door Installed (Can Be The 4th Bdrm). Oversize Family Rm W/Fireplace. Min. To 404, School, Park & Costco Etc. Upgrades Include Smooth Ceiling On Upper Hall, Foyer, Rec Room...


Book Showing
Request More Info
Send Text Message
Call: 416-800-1055

"
