,Address,Price,Beds,Baths,City,Area,Street,Description
1043,4655 Glen Erin Dr 1206,789000,2,2,Mississauga,Central Erin Mills,Glen Erin Dr,"Don't Miss This Opportunity To Own A Gorgeous Well Maintained 2 Bedroom, 2 Bath Suite In The Prime Location Of Central Erin Mills. Sun-Filled Unit Boasting 830Sqft, Smooth 9Ft Ceilings And Laminate Floors Throughout. Upgraded Modern Kitchen W/Quartz, S/S Appliances..."
1044,5170 Winston Churchill Blvd 105,419900,0+1,1,,Churchill Meadows,Winston Churchill Blvd,"A Must See! This Daniel's Builder's Model Suite Boasts 536 Sqft Of Space, 9 Ft Ceilings, Laminate Flooring, Ceramic Tile In Foyer. Ample Storage And Closet Space. Kitchen Features Stainless Steel Appliances, Lots Of Cabinets And Counter Space. Bright Living Room Has A..."
1045,28 Rexdale Blvd 16,449999,3,2,Toronto,Rexdale-Kipling,Rexdale Blvd,"Great Opportunity For First Time Home Buyers, Downsizers Or Investors.3 Bedroom Condo Townhouse. Open Concept Main Floor With Updated Kitchen Featuring Granite Countertops And Breakfast Bar. Laminate Flooring Throughout.Primary Bedroom With Walk-Out To Balcony With..."
1046,5020 Corporate Dr 217,589900,2,1,Burlington,Uptown,Corporate Dr,"Absolutely Stunning Two Bedroom Suite!!! Spacious, Bright Open Concept Layout! Gleaming Dark Pre-Engineered Hardwood Floors Through Out, Lovely Kitchen With Breakfast Bar & S/S Appliances. 9Ft Ceilings! Walk Out To Balcony! Crown Moulding!  Large Laundry / Storage Room..."
1047,39 Annie Craig Dr 416,1250000,2,2,,Mimico,Annie Craig Dr,"Absolutely Stunning Lake & City Views Corner Unit  Now Available!! 877 Sq Ft + Wrap Around Balcony; South Facing Corner Unit With 2 Br, 2 Wr 1 Parking + 1 Locker. Panoramic View Of Lake Ontario From All Rooms; Open Concept Living Space With 9' Ft Ceiling; Close To Park..."
1048,216 Plains Rd B103,579900,1,1,,LaSalle,Plains Rd,"Sought After Aldershot Condo Apartment Ideal For Someone Looking To Downsize. Spacious Open Floor Plan For This Tastefully Decorated One Bedroom Suite With A Treed Garden View. Bay Window In Living Room, French Door To Open Private Balcony Offering Plenty Of Privacy..."
1049,102 Grovewood Common 107,749000,2,2,Oakville,Rural Oakville,Grovewood Common,"Welcome To Your New Mattamy Home In The Heart Of North Oakville Across The Many Amenities Of Uptown Core.Suite 107 Is A Corner Unit That Offers Contemporary Lifestyle And Comfort.With 840 Sq.Ft. Of Living Space And A Gorgeous 277 Sq.Ft. Private Patio, This Unit Will..."
1050,16 Orchard Park Gate,949999,2+2,3,Brampton,Sandringham-Wellington,Orchard Park Gate,"Beautiful Upgraded Home In Rosedale Village!! Features Combined Lr/Dr; Large Modern Kitchen W/Quartz Countertop; Lots Of Cabinets, Breakfast Bar; W/O To Huge Deck W/Gas Bbq Hookup; 4 Br; 3 Washrooms; New Floors & Fresh Paint Throughout - New Finished Basement W/ Large..."
1051,34 Springside Way,799000,3+1,2,,Downsview-Roding-CFB,Springside Way,"Fantastic & Function Townhome Offering Open Concept Kitchen W/Stainless Steel Appliances, Granite Countertop, Undermount Sink, Backsplash & Beautiful Cabinetry. Second Level Living/Dining Room W/Walkout To Deck Overlooking Landscaped Garden/Backyard. Large Master W..."
1052,40 Panorama Crt 604,570000,3,2,,Mount Olive-Silverstone-Jamestown,Panorama Crt,"Bright, Spacious, Extensively Upgraded 3 Bedrooms, 2 Full Bathrooms Condo! Exceptional Family Value, Large Living Room W/Patio Doors To Huge Balcony W/Netting, Dining Room Just Off Kitchen W/Breakfast Nook! Oversized Main Bedroom W/3 Pce Ensuite & Walk-In Closet..."
1053,60 C Line 112,819900,2,2,Orangeville,Orangeville,C Line,"Exceptionally Well Cared For & One Of The Rare ""Ground Floor"" Units Overlooking Peaceful + Quiet Treed Setting. Open Concept Great Rm W/6"" Douglas Hardwood Flooring, Kitchen Island W/Granite Counters, Original Appliances Replaced, Automated Hunter Douglas Blinds..."
1054,4065 Brickstone Mews 208,569000,1,1,,City Centre,Brickstone Mews,"Location! Lovely 1 Bedroom Condo W/Balcony At Prestigious Parkside Village. Nice & Rare Layout W/Separate Kitchen, Granite Counter & Lots Of Cupboard Space. 10 Ft Ceiling, Hardwood Flooring & Floor To Ceiling Windows. One Parking & One Large Locker Included.  Fantastic..."
1055,349 Rathburn Rd 2111,599999,1+1,1,Rathburn Rd,,,"Assignment Sale**  City Views! 5 Min To Square One,  Sheridan, Cineplex And Great Restaur This Absolutely Stunning 1 Bedroom Condo + Den With Walk Out To Balcony Is Only Steps Away From All The Essentials. With 9' Ceiling, Open Concept With Large Windows, Granite..."
1056,44 Longbourne Dr 101,249900,1,1,,Willowridge-Martingrove-Richview,Longbourne Dr,"Attention First Time Buyers & Investors ! Here Is Your Change To Own This Hidden Gem In Etobicoke. This Unit Features One Bedroom, Open Concept Living & Dining Area With Laminate Floors Throughout, Walk Out To Open Balcony & More. Comes With One Underground Parking & A..."
1057,2285 Lake Shore Blvd 1414,1100000,2,2,Lake Shore Blvd,,,"Welcome To Grand Harbour! A Prestigious Gated Community Featuring Luxury Hotel Style Amenities! This Fabulous 1376 Sqft, 2 Bedroom, 2 Bath Suite Boasts Unobstructed &  Breathtaking Views Of Lake Ontario, Sunfilled & Spacious Rooms, Ensuite Laundry, Eat-In Kitchen..."
1058,830 Lawrence Ave 240,598800,2,2,,Yorkdale-Glen Park,Lawrence Ave,Awesome Opportunity To Get A South Facing Upgraded Unit At Prized Treviso Condos With C.N. Tower Views! Gorgeous Modern Kitchen With Stainless Steel Appliances & Tons Of Cabinet Space. Open Concept Split Layout & High Ceilings Allows For Natural Sunlight To Pour In...
1059,33 Whitmer St 315,799000,2+1,2,Milton,Scott,Whitmer St,"Welcome To Greenlife Westside. 1286 Sqft, 2 Bedrooms + Large Den, Ensuite W/ Separate Tub & Shower, Another Full Bathroom,9Ft Ceilings, Gourmet Kitchen W/Granite Counters & Breakfast Bar. 2 Owned Parking Spaces & Locker Included. Lots Of Visitor Parking. Bright & Ready..."
1060,12 Laurelcrest St 1005,510000,2,1,Brampton,Queen Street Corridor,Laurelcrest St,"Southern Exposure, Spacious, Beautiful And Conveniently Located. Move-In And Enjoy This  2 Bedroom Unit With Walkout Balconies From Both, Primary Wi Closet, Open Concept, Updated Kitchen, Bathroom, Flooring And Fresh Paint, In-Suite Laundry. Very Well Maintained Unit..."
1061,3078 Sixth Line 331,799000,2,2,Oakville,Rural Oakville,Sixth Line,"Welcome Home! This Bright & Spacious Executive Condo Town In The Sixth Towns Community Is Located In Highly Desired North Oakville And Ft. Hardwood Flrs Throughout, Smooth Ceilings & Pot Lights, Large Windows & Tons Of Natural Sunlight, Large Kitchen Island W Granite..."
1062,240 Scarlett Rd 1103,759000,3,2,Toronto,Rockcliffe-Smythe,Scarlett Rd,"!!Wow!! Breathtaking, Million Dollar Views Of Lambton Golf Course & Humber River!! Semi-Renovated 3 Beds, 2 Baths, Corner Suite Awaiting Your Personal Touches**Spacious Layout**Brand New Stainless Steel Appliances**Large Balcony W/Unobstructed Sw View**Surrounded By..."
1063,3515 Kariya Dr 1910,499000,1,1,Mississauga,City Centre,Kariya Dr,"Live In The Heart Of Downtown Mississauga Overlooking Famed Kariya Park. A Walk Away From Everything. Square One Mall, Celebration Square, City Hall, Fabulous Green Space And More. This Furnished 1+1 Offers Open & Comfortable Concept, W/ Expansive Windows Letting In..."
1064,4460 Tucana Crt 1109,649000,2+1,2,,Hurontario,Tucana Crt,"Spacious Sunlight Filled 2 Bedroom + Solarium & 2 Full Washrms, Corner Unit W/Spectacular South West Views. Total 3 Car Parking Including 1 Parking On Rent. Step From 403 Near To Square One, Plaza, Transit, 401 & Qew. No Carpets In The Unit, W/I Closet, Renovated..."
1065,295 Cundles Rd 409,649000,2+1,2,Barrie,Cundles East,Cundles Rd,"Boasting 1244 Sqft, This Corner Suite Has 2 Br+Den, 2 Bath, & Underground Parking, Storage. 9' Smooth Ceilings, Pot Lighting, Designer Light Fixtures & Ceiling Fans, High End Laminate Flooring, Master Ensuite With A Tiled Glass Shower, Closet Organizers, And A Kitchen..."
1066,235 Ferndale Dr 16,449000,2,1,,Ardagh,Ferndale Dr,"Here's Your Chance! Located In The Desirable Area Of Ardagh Bluffs, Barrie, This Home Is One You Don't Want To Miss. The Location Is Ideal For Anyone As It Is W/In Easy Access To Commuter & Transit Routes. Nearby Parks, Amenities, Recreation & Restaurants All W/In..."
1067,26 Bruce St D05,699000,2,2,Vaughan,East Woodbridge,Bruce St,"A Beautiful And Stunning Bungalow Like Open Concept Townhome In The Heart Of Woodbridge Features A Upgraded Kitchen W/Quartz Counter, B/Splash, Smooth Ceilings, Laminate Fl Throughout, Bbq Hook Up, 2nd Bedroom As Home Office, King Size Primary Bedroom With Walk-In..."
1068,75 North Park Rd 804,599900,1,1,,Beverley Glen,North Park Rd,"Bright & Spacious 1 Bdrm In The Fountains. Kitchen With Granite Counters And Stainless Steel Appliances. Open Concept Modern Unit Featuring 9Ft Ceilings, Balcony With Unobstructed View,1 Parking. Amazing Amenities: Indoor Pool, Sauna, Gym, Visitor Parking. Close To..."
1069,120 Promenade Circ 701,799000,2,2,,Brownridge,Promenade Circ,"Big, Bright, & Beautiful! Promenade Condos Showstopper Featuring 2 Bdrm/2 Full Bthrm Split Layout Boasting 1,250Sqft Of Open Concept Living Prof.Renovated From Stud To Stud With No Expense Spared. Chefs Kitchen, Flat Ceilings, Pot Lights, Hardwood, & Large Windows T/O..."
1070,481 Rupert Ave 2310,599900,1+1,1,Whitchurch-Stouffville,Stouffville,Rupert Ave,"Beautiful Open Concept Bright And Spacious Layout With Balcony And Office/Work Area. Prime Location In Stouffville Close To All Amenities. Must See. Ready To Move In. Stainless Steel Appliances: Fridge, Stove, Dishwasher, Over-The-Range Microwave/Hood Combo. Washer And..."
1071,672 Wendy Culbert Cres,799900,3,4,Newmarket,Stonehaven-Wyndham,Wendy Culbert Cres,"Stunning Executive Condo Townhouse In Quiet, High Demand Neighbourhood. Breathtaking 4 Season Views With Finished Walkout Basement Backing Onto Ravine. Features 3 Bedrooms, 4 Bathrooms, 9Ft Ceilings, Open Concept Layout, Wrought Iron Railings, Bright Neutral Decor..."
1072,85 Wellington St 403,950000,2+1,2,Aurora,Aurora Village,Wellington St,"Penthouse: 2 Bedrooms & Den, 2 Full Bathrooms. 1600+Sqft Open Concept, Bright (Skylight), East Facing Bay Windows & Balcony. Spectacular Panoramic Views. Professionally Renovated Throughout W/ Modern High-End Material. Gourmet Kitchen W/ Custom Cabinetry, S/S..."
1073,4 Pottle Lane,699900,3,2,Ajax,South East,Pottle Lane,"Gorgeous 3 Bed Townhouse, Good Family Size Home,  Bright Kitchen, W/O To Balcony From Breakfast Area. Good Size Bedrooms, , Family On Ground Floor., Access From Garage. Very Close To Ajax Lake Front, Parks,Trails, Shopping,401,Rest.& Great Family Neighbourhood !!!  A..."
1074,8 Mondeo Dr 907,670000,2,2,,Dorset Park,Mondeo Dr,"For More Information About This Listing, More Photos & Appointments, Please Click ""View Listing On Realtor Website"" Button In The Realtor.Ca Browser Version Or 'Multimedia' Button Or Brochure On Mobile Device App. "
1075,121 Ling Rd 1401,579900,2+1,2,,West Hill,Ling Rd,"Breathtaking & Unobstructed South East Views Of Lake Ontario! Rarely Offered 2+1 Corner Unit. Very Well Maintained Condo Building In Toronto's East End. Impeccable Grounds That Feature A Resort-Like Pool, Tennis Court Bbq Area And Landscaped Gardens. Enjoy The Stunning..."
1076,2588 Bromus Path 136,799000,4,3,Oshawa,Windfields,Bromus Path,"Excellent Opportunity To Own A Rarely Offered End Unit Townhouse In Extensively Developing Oshawa, Bright And Spacious Home Features 4 Bedrooms & 3 Bathrooms, Family Oriented Neighborhood Offers Wide Range Of Amenities, Located Close To Durham College, Ontario Tech..."
1077,1215 Bayly St 806,725000,1+1,1,Pickering,Bay Ridges,Bayly St,"Highly Desirable, Rarely Offered, South Facing, 1 Bedroom & Den Condo, W/Full 4Pc Bath, A View Of The Gorgeous Frenchman's Bay. Kitchen Has All Stainless-Steel Appliances & Granite Countertops. Laundry Has Large White Stacking Washer Dryer. Large Den Can Be Transformed..."
1078,35 Boardwalk Dr 424,1525000,2,2,,The Beaches,Boardwalk Dr,"Location!Location!Location! A Rare Opportunity In Sought-After Condo Building In The Beach, Only Steps To The Lake. This 4th Floor, 2 Bedroom 2 Bath Condo With Solarium-Style Breakfast Nook Has Sweeping Views Of Manicured Gardens And Lake. Features Include Gas..."
1079,200 Woodbine Ave 209,1239900,2+1,2,Toronto,The Beaches,Woodbine Ave,"Absolutely Stunning Unit In Beautiful Boutique Building In Prime Beach: 2+1 Bed With A Large 158 Sq Ft Terrace. More Than $50,000 In High-End Upgrades: Built-In Cabinetry With Electric Fireplace, Upgraded Cabinets, Marble Counters, Miele Appliances, Additional Storage..."
1080,2466 Eglinton Ave 214,589000,2+1,2,,Eglinton East,Eglinton Ave,"Welcome To Rainbow Village Condo! This Bright And Spacious Unit Comes With 2 Bedrooms Plus Den , New Kitchen, New Flooring And Is Located In The Heart Of Scarborough Close To Kennedy Subway. Amazing North Views. Large Open Concept Living/Dining Area With Generous Size..."
1081,1190 Dundas St 414,695000,1+1,1,,South Riverdale,Dundas St,"Beautiful Sunny South Facing Suite In The Ultra Popular"" Carlaw"". Functional 1Bed+Den( Den Large Tobe 2nd Bdrm With Doors/Doubleclosets)+1Parking+1 Locker,9'Ceiling Height,9' Floor To Ceiling Windows. Sleek Kitchen W/ European Appliances, Lots Of Storage, Hardwood..."
1082,1235 Radom St 25,650000,3,3,Pickering,Bay Ridges,Radom St,"Opportunity Knocks! Updated Spacious 3 Br Condo Townhouse Located Steps To Frenchman's Bay. Hardwood Floors On Main & Second, Laminate & Potlights In Basement, Bright Living Room With Walkout To Fenced Yard, Large Kitchen W/ Stainless Steel Appliances. Easy Access To..."
1083,9 Boardwalk Dr 121,1549900,2,2,Boardwalk Dr,,,"1455 Sq Ft Corner Suite Makes This Model The Largest 2 Bedroom*. Only 4 Suites Offer This Sq Footage, With Direct City, Park & Fountain Views, Large West Facing Terrace. Master Bedroom Features 2 Walk-In Closets And Walk Out To 2nd Private Terrace. 9 Foot Ceilings..."
1084,1 Massey Sq 2612,399900,1,1,,Crescent Town,Massey Sq,"Welcome To This Well Kept And Exceptionally Situated, 1 Bedroom/Bathroom Condo Unit In The Desirable  Crescent Town Neighbourhood Of Scarborough. Take Advantage Of The All-Inclusive Utilities: Heat/Hydro/Water, Cable Tv, Building Insurance, And Common Elements.  Breath..."
1085,1005 King St 132,650000,1+1,2,,Niagara,King St,*Prime King/Shaw! *Dna2 Condos! *Unbelievable Find On The Boardwalk Overlooking Massey Harris Park! *Spectacular 2St 1+1Br 2Bth East Facing Townhome Style Suite W/Terraces On Each Level! *Spacious Open Concept W/High Ceilings! *Exceptional Amenities For Indoor+Outdoor...
1086,39 Brant St 211,729000,1+1,1,,Waterfront Communities C1,Brant St,"Live Your Most Fabulous Life In This Sleek 1+Den Condo Located In The Heart Of King West! Sunny South Facing Unit With Clear View. Functional & Bright Layout. Exposed Concrete Ceilings & Walls, Flr To Ceiling Windows & Hardwood Floors Throughout. A Modern Euro-Style..."
1087,318 King St 414,525000,1,1,,Moss Park,King St,"Welcome To King St. East Neighbourhood, 452 Sq Feet, Junior One-Bedroom Suite, Bright South Exposure, Floor To Ceiling Windows, 9Ft Exposed Concrete Ceiling, Stone Countertop, Gas Range. Conveniently Located Close To St.Lawrence Market, Distillery District. Streetcar..."
1088,600 Queens Quay 521,979000,2+1,2,Queens Quay,,,A Rare Find On Queens Quay! Renovated 2 Bedroom + Den & 2 Bath! Offering All The Luxuries Of Lakeside Living W/ Over 890Sqft Of Hardwood & Smooth Ceilings Throughout. Brand-Name Appliances & High-End Finishes Highlight Large Windows & Natural Light From Every Room. An...
1089,69 Lynn Williams St 210,499000,1,1,Lynn Williams St,,,"A Modern 1 Bed+1 Bath Layout W/Trendy Tones & Finishes Throughout. Light Hardwood, White Sleek Kitchen Cabinetry + Floor To Ceiling Windows Make This Functional Space Feel Extra Bright & Open. The Walkout From The Living Room To A Spacious Balcony Is Another Feature Of..."
1090,219 Fort York Blvd 907,425000,0,1,Fort York Blvd,,,"Rarely Offered And Stylishly Upgraded Bachelor Unit. Move In And Enjoy! Sun-Soaked Unit With Floor To Ceiling Windows. Kitchen Features Brand New Appliances, Backsplash, Countertop And Soft Closing Cabinets. Washroom Features New Floor, Vanity, And Upgraded Black..."
1091,92 King St 412,642000,1+1,1,,Church-Yonge Corridor,King St,"Welcome To This Beautiful & Spacious One Bedroom + Den In King Plaza. This Unit Has Been Freshly Painted, Brand New S/S Appliances & New Led Dinning Rm Light Fixture. All Utilities Included In Mtc Fee, Gym Located On 4th Fl & Has Beautiful Roof Top Deck W.Bbq. Located..."
1092,22 Leader Lane 327,548000,1,1,Leader Lane,,,Welcome To King Edward Private Residences! Boutique Luxury Living In The Heart Of The City. Only Steps Away From The Financial District & The St. Lawrence Market. This Beautiful 1 Bedroom 1 Bath Unit Features Rare 10 Foot Ceilings And High End Finishes With Access To...
1093,543 Richmond Street West St #211,1488000,2,2,Richmond Street West St,,,Rare Opportunity To Own King West's Prestigious Pemberton Group's 543 Richmond Residences At Portland. (880 Sqft) Parking & Bike Storage Included. This Luxurious Fashion District Condo Is Surrounded By Multiple Transit Stops(Score Of 100). Amenities Include Bar...
1094,14 York St 2801,899000,3,2,York St,,,"Bright And Luxury 3 Bedroom Unit At Ice Ii, 2 Full Bathrooms. Spacious Living Space With A Very Large Balcony, Parking And Locker. 9 Ft Ceiling With Floor To Ceiling Windows, Open Concept Modern Kitchen With B/I Appliances. Direct Access To Underground Path, Close To..."
1095,505 Richmond St 729,788800,2,2,Richmond St,,,"Come Discover This Stunning Condo Right In The Heart Of Toronto. This Two-Bed, Two Bath Unit At The  Waterworks Has Everything You Need For Your Perfect Home In The City! Absolutely Gorgeous & Modern Finishes Are Found At Every Turn From Your Unit, To The Lobby And The..."
1096,8 Hillsdale Ave 837,480000,0,1,,Mount Pleasant West,Hillsdale Ave,"Great Unit In The Art Shoppe Lofts With Amazing East, Unobstructed Views. Well-Appointed Studio With Loads Of Added Storage And Custom Murphy Bed With Matching Side Units. Amenities Galore With Roof-Top Infinity Pool, Gym, Lounge & 24 Hour Concierge. Close To..."
1097,111 Elizabeth St 912,779000,1+1,1,,Bay Street Corridor,Elizabeth St,"Beautifully Renovated 1+1 Bedroom Suite In The Popular Bay Street Corridor. Living/Dining Combo W/W/O To Western Facing Balcony W/Views Of The Cn Tower. New Custom Kitchen Feat Quartz Counters & S/S Appliances. Prim Bdrm That Can Fit King Bed, W/I Closet W/B/I Shelves..."
1098,197 Yonge St 4704,699900,1,1,Yonge St,,,"Virtual Tour Is Ready! Click The Link To Check It Out. Luxury Massey Tower One Of The Best Locations In Downtown Toronto! Steps To Queen Ttc Station, Eaton Centre Mall, Financial District, St. Michael's Hospital, Best Downtown Eateries, Yonge-Dundas Square, Ryerson..."
1099,55 Merchants Wharf 225,849000,1+1,1,Toronto,Waterfront Communities C8,Merchants Wharf,"Luxury Waterfront Living Tridel's Aqualina At Bayside. Amazing Views Of The Lake. Modern & Luxury 1+1, Den Is Large Enough To Use As A Bdrm. 10 Foot Ceilings. Building With Excellent Amenities. Outdoor Swimming Pool, Gym, Saunas, Theater Room & Party Room. Modern..."
1100,11 Wellesley St 1004,838800,1+1,1,,Bay Street Corridor,Wellesley St,"Location! Location! Location! You Can Stop At This Attractive Germ On Wellesley On The Park, A Landmark Condo In The Heart Of Downtown Toronto. Steps Away From Uoft Campus And Endless Shopping/Restaurants In Yorkville. Terrific 1+Den Layout Unit With Huge Balcony. 1..."
1101,1888 Bayview Ave 818,3200000,2+1,3,,Bridle Path-Sunnybrook-York Mills,Bayview Ave,"Welcome To The Prestigious Blythwood At Huntington. This Stunning Sub Penthouse In Affluent Bridle Path Overlooks Sherwood Park Ravine. Bright And Airy, This Beautiful Corner Suite Offers 2,665Sf With 10Ft Ceilings, Two Huge Terraces, Underground Parking For 3 Cars..."
1102,264 Seaton St 100,629000,2,1,,Moss Park,Seaton St,"Extra, Extra, Read All About It -- The Historic Evening Telegram Lofts Just Released A Winning Storey!  This Rarely Offered 10-Unit Boutique Gem In Cabbagetown Is Anything But Cookie Cutter. Exposed Brick Walls, 14 Ft Ceilings & Newly Renovated Kitchen And Floors Make..."
1103,565 Wilson Ave Ph1303W,850000,2,3,,Clanton Park,Wilson Ave,Rare To Find Luxurious Penthouse Loft In The Sky At The Station Condos! This Sun Filled Spacious 3 Story Ph Unit Has 1365 Sqft Of Living Space And A Breathtaking 980 Sqft Private Rooftop Terr. Great Views In The Day Or Night! Chef's Dream Kitchen W/ Wrap Around Granite...
1104,38 Joe Shuster Way 1701,599000,1+1,2,,Niagara,Joe Shuster Way,"Stylish & Spacious Suite In A Phenomenal Location With Parking Included! Versatile Den Can Be Used As Office Or Second Bed If You Prefer. Steps To A Variety Of Shopping Options Including Grocery, Drug Store, Department Store, Pet Store, Park, Dog Park, Nearby Liberty..."
1105,576 Front St 512,609880,1+1,1,,Waterfront Communities C1,Front St,"Highly Desired Luxurious Minto Westside Building! Winner Of Ohba/Bild Awards, Amazing Location.This Rarely Offered Open Concept Layout 1+1 Unit Features 544 Sqft, Modern Finishes/Colours,9'Foot Smooth Ceilings Throughout, Large Windows.Built-In Stainless Steel..."
1106,8320 Feren Dr,999913,4+1,3,Niagara Falls,,,"Magnificent! Renovated Top To Bottom, Well-Kept,Detached 4+1Br, Huge Lot ( 44.29 By 121.39) Apx 2200 Sqft Of Living Space In Highly Sought After Area In Niagara Falls. Loaded W/ Upgrades. Lots Of Natural Lighting, High-Ceiling. Open Concept Layout, Living Dining..."
1107,23 Hastings Blvd,825000,2,2,Guelph,Grange Hill East,Hastings Blvd,An Excellent Opportunity In Grange Hill East! Put Down Roots On A Quiet Tree-Lined Family Friendly Street. This Bijou Home Sits On A Massive 56 X 185 Lot And Backs Onto A Private Woodland. The Ultimate In Privacy! You Can Slip Down To The Basement Through The Side Door...
1108,3008 Max Khan Blvd,1199900,3,4,Oakville,Rural Oakville,Max Khan Blvd,!!! Gorgeous Executive Luxury  End Unit Town House In Oakville (Less Then 1 Year Old) !!! (Aprx 2347 Sq Ft As Per Builder Floor Plan) One Of This Biggest End Unit Model (3 Car Parking) Stone & Brick Elevation Open Concept Layout With Full Family Size Kitchen Comes With...
1109,18 Beacon Hill Dr,2388800,4+1,5,Brampton,Credit Valley,Beacon Hill Dr,"Built By Royalpark Homes In The Prestigious Estates Of Credit Ridge On Mississauga Road, This Spacious & Modern Home Features 4 Bedroom + Office, 3.5 Bathrooms, Hardwood Through-Out, Upgraded Lights And Chandelier! As Per Builder, This Detached Two-Storey Home Is 3395..."
1110,19 Gleneaden Crt,699000,3,3,,Northgate,Gleneaden Crt,"Freehold* 3Bed/3Baths Townhouse Situated On A Quiet Court, New Kitchen With Quartz Counter, Laminate Floor Throughout, Backing On To A Park, Perfect For 1st Time Home Buyers, 2Pc Washroom On Main, Gas Fireplace Heats Up The Whole House, In Summer Window Ac Cool An..."
1111,24 Mayall Ave,1299000,4+2,4,,Downsview-Roding-CFB,Mayall Ave,"Gorgeous Det  Corner 4 Br W/ Family, Den & Fin Bsmt ;  2 Car Garage; Good Quiet Neighbourhood And Loc! Great Layout; Lots Of Upgrades  , Modern Kitchen With Granite Counters,  Skylight ,S/S Appliances ( Fridge 2021,Stove, Dishwasher); Washer( 3Yr Old)/Dryer( Bosch..."
1112,3 Beresford Cres,1288999,3,4,,Bram East,Beresford Cres,"Spectacular Detached Home With A Finished Basement In A Prestige Family Oriented Neighbourhood. This East Facing Sun Filled Home Features Hardwood Floors, Oak Staircase, Formal Liv/Din Room (Used As A Great Room), Family Room W/A Fireplace (Used As A Dining). Eat-In..."
1113,3 Honeysuckle Way,1395000,3+2,4,Wasaga Beach,Wasaga Beach,Honeysuckle Way,Hello Gorgeous! Impressive All Brick Bungalow Set On An Extra-Wide South-Facing 77.17 X 153.21 Ft Lot. Stunning Inground 20X40 Ft Heated Salt Water Swimming Pool With 16' Water Feature Will Wow All Who Visit! Only 14 Years Old & Meticulously Maintained By The Original...
1114,6 Alana Dr,1699000,4+1,4,Springwater,Centre Vespra,Alana Dr,"Beautiful 2 Storey, Fully-Finished Home In Prestigious Stonegate Estates. Mature, Quiet, Family-Friendly Neighbourhood. 5 Mins Into Barrie For Key Amenities And Commuter Routes. 4+1 Bedrooms. Primary With Ensuite. Home Office. 5Pc, 4Pc, 3Pc, 2Pc Baths. Full Finished..."
1115,72 Rosena Lane,999000,4,4,Uxbridge,Uxbridge,Rosena Lane,"Wondering How To Entertain The Kids This Summer?  Here You Have It!  This 4 Bedroom Family Home Located In Barton Farms Should Be On Your Must See List! Chef Inspired Gourmet Kitchen For Entertaining Friends, With Walkout From Kitchen To A Backyard Oasis With In-Ground..."
1116,9 Plantain Lane,1680000,4,4,Richmond Hill,Oak Ridges Lake Wilcox,Plantain Lane,"Stunning Stone/Brick Detached Home At The Prestigious "" Oak Knoll Community "". $$ Spent Upgraded W/ Exquisite Finishes. California Shutter, Central Air Circulation, Vacuum, Water Filtration... Walk Out Basement ,  High Demand Location , Close To Lake Wilcox , Park , Go..."
1117,9 Highland Crt,4890000,5+1,9,Aurora,Aurora Village,Highland Crt,A Stunning Custom Built Home Located On Quiet Court Cul-De-Sac Like In The Most Sought After Neighbourhood In Aurora With Breathtaking Views. 100' X 234' Lot. This Incredible Home Is Surrounded By Ravine And Mature Private Trees And Filled With Many High End Finishings...
1118,86 Sir Benson Dr,2290000,4+1,5,Vaughan,Patterson,Sir Benson Dr,"Gorgeous Designed 4+1 Bed & 5 Bath Detached Home By Treasue Hill In Uws! 10' On Main, 9' On 2nd! Open Concept Kitchen, Large Breakfast Area Overlooking Large Family Room And Gas Fireplace. Master Bedroom Features A Walk-In Closet & 5Pc Ensuite. Finished Basement With..."
1119,9 Wexford Dr,1299000,3+2,2,Georgina,Keswick North,Wexford Dr," Fridge, Stove , Microwave Hood, Dishwasher, Washer & Dryer, All Blinds, Central-Vac"
1120,118 Elson St,1688800,5+2,4,Markham,Middlefield,Elson St,"Gorgeous, Designer's Own 5 Bdrm Greenpark Home! Completely Renovated From Top To Bottom! Approx 2800 Sqft! Custom Kitchen With Granite Counters, Open To Family Rm! W/O To Fenced Garden.  Hardwd Flrs Thru-Out! Fantastic Layout W/Great Flow. Main Flr Laundry W/ Access To..."
1121,1052 Barton Way,1278000,4,3,Innisfil,Alcona,Barton Way,"Modern & Elegant! Breathtaking 2-Car Garage Detached Home Nestled In High Demand Alcona! This 3-Year New Family Home Offers Stunning Open Concept Main Floor; Wood Floors & 9 Ft Smooth Ceilings On Main; Chic Kitchen W/Stone C-Tops, Centre Island, S/S Apls & Walk-In..."
1122,2 Myron St,1299990,4+1,4,Whitchurch-Stouffville,Stouffville,Myron St,"Lovely Double Garage Home Sitting On A Bright Premium Corner Lot In The Heart Of Stouffville Built By Mattamy. Tons Of Upgrades. Freshly Painted, Oak Staircase, Crown Molding, Quartz Counters, California Shutters Throughout, Oversize Garden Shed In Fully Fenced & Low..."
1123,265 Jelley Ave,1899000,4+2,4,Newmarket,Armitage,Jelley Ave,Welcome To 265 Jelley Ave In Sought After Armitage Village. This Spectacular Family Home Sits On A Premium Extra Large Corner Ravine Lot. This Spacious Home Boasts Approx 4500 Square Feet Of Living Space. The Main Floor Features A Dream Kitchen With W/O To A Large Deck...
