,Address,Price,Beds,Baths
1007,2 Myron St,"$1,299,990 CAD",4+1 beds,4 baths
1008,265 Jelley Ave,"$1,899,000 CAD",4+2 beds,4 baths
1009,27 Luxton Ave,"$998,000 CAD",3 beds,3 baths
1010,69 Bawden Dr,"$1,190,000 CAD",3 beds,3 baths
1011,339 William Graham Dr,"$1,199,000 CAD",4 beds,4 baths
1012,2 Loyal Blue Cres,"$1,688,000 CAD",4+2 beds,4 baths
1013,44 Taurus Cres,"$2,198,000 CAD",4 beds,4 baths
1014,310 Lakeview Blvd,"$599,900 CAD",2 beds,1 baths
1015,127 Wagner Cres,"$699,900 CAD",3 beds,3 baths
1016,3657 Concession 4 Rd,"$2,050,000 CAD",2 beds,1 baths
1017,857 Glenbrae St,"$950,000 CAD",3 beds,3 baths
1018,331 Bluejay Cres,"$799,000 CAD",4 beds,3 baths
1019,264 Swindells St,"$799,900 CAD",3 beds,3 baths
1020,231 Cornwallis Crt,"$998,888 CAD",3 beds,2 baths
1021,63 Enchanted Hills Cres,"$999,000 CAD",3 beds,3 baths
1022,106 Wintermute Blvd,"$1,198,800 CAD",3+2 beds,6 baths
1023,4 Alomar St,"$1,099,000 CAD",4 beds,4 baths
1024,289 Ballard St,"$669,900 CAD",2+2 beds,1 baths
1025,1 De Boers Dr 304,"$499,000 CAD",1+1 beds,1 baths
1026,665 Cricklewood Dr 715,"$799,000 CAD",2 beds,2 baths
1027,18 Applewood Lane 19,"$899,000 CAD",3 beds,3 baths
1028,2555 Thomas St 76,"$799,000 CAD",3 beds,4 baths
1029,131 Upper Duke Cres 903,"$599,000 CAD",1+1 beds,1 baths
1030,1 Falaise Rd 219,"$549,900 CAD",1+1 beds,2 baths
1031,60 Shuter St 2210,"$549,800 CAD",1 beds,1 baths
1032,30 Roehampton Ave 1907,"$599,000 CAD",1 beds,1 baths
1033,205 Frederick St 1104,"$658,000 CAD",1+1 beds,1 baths
1034,22 Olive Ave Lph11,"$649,000 CAD",1 beds,1 baths
1035,118 Finch Ave 3,"$699,999 CAD",2+1 beds,3 baths
1036,50 Lynn Williams St 212,"$579,900 CAD",1 beds,2 baths
1037,955 Bay St 1705,"$688,000 CAD",1 beds,1 baths
1038,70 Queens Wharf Rd 1811,"$660,000 CAD",1+1 beds,1 baths
1039,170 Chiltern Hill Rd 511,"$699,999 CAD",1 beds,1 baths
1040,1198 Valens Rd,"$1,999,000 CAD",3 beds,2 baths
1041,3860 Ryan Ave,"$849,900 CAD",3 beds,3 baths
1042,7770 Redbud Lane,"$699,900 CAD",3 beds,3 baths
1043,51 Cameron Rd,"$649,900 CAD",3 beds,2 baths
1044,275 Hixon Rd,"$1,197,000 CAD",4 beds,3 baths
1045,480 Grindstone Tr,"$1,699,900 CAD",4 beds,4 baths
1046,40 Treeline Blvd,"$1,699,900 CAD",4+3 beds,4 baths
1047,8 Menoke Crt,"$999,000 CAD",3 beds,4 baths
1048,35 Avondale Blvd,"$849,500 CAD",3+1 beds,2 baths
1049,181 Sunforest Dr,"$899,500 CAD",3 beds,2 baths
1050,39 Oakwood Ave,"$2,388,000 CAD",3 beds,5 baths
1051,6450 Hampden Woods Rd,"$949,900 CAD",3 beds,4 baths
1052,1178 Randolf Gate,"$3,199,000 CAD",4 beds,6 baths
1053,3 Penguin Lane,"$999,000 CAD",3 beds,4 baths
1054,3656 Sawmill Valley Dr,"$1,998,000 CAD",4+1 beds,4 baths
1055,14 Fenchurch Dr,"$1,649,999 CAD",4+1 beds,4 baths
1056,84 Brucker Rd,"$649,900 CAD",3 beds,3 baths
1057,32 High Tide Dr,"$799,000 CAD",3 beds,3 baths
1058,293 Matchedash St,"$899,900 CAD",5 beds,4 baths
1059,4 Graham Cres,"$1,288,000 CAD",3+2 beds,3 baths
1060,70 Pickett Cres,"$2,698,999 CAD",4+2 beds,3 baths
1061,35 Camlaren Cres,"$2,095,000 CAD",4 beds,3 baths
1062,229 Elm Ave,"$599,000 CAD",2 beds,1 baths
1063,8 Bennington Rd T466,"$1,338,888 CAD",3+1 beds,4 baths
1064,51 Puccini Dr,"$3,088,000 CAD",4 beds,5 baths
1065,80 Bendamere Cres,"$1,299,888 CAD",3+1 beds,4 baths
1066,2 Pettit Crt,"$875,000 CAD",4 beds,2 baths
1067,166 Driscoll Rd,"$1,389,000 CAD",3+1 beds,2 baths
1068,118 Fortis Cres,"$998,000 CAD",4 beds,3 baths
1069,763 Audley Rd,"$1,399,900 CAD",4 beds,4 baths
1070,25 Sawdon Dr,"$799,000 CAD",3 beds,3 baths
1071,93 Cedar Crest Beach Rd,"$1,699,900 CAD",4 beds,3 baths
1072,93 Gateway Crt,"$1,099,900 CAD",4 beds,4 baths
1073,343 Orange Cres,"$799,000 CAD",3+1 beds,2 baths
1074,7 Belmont St,"$1,650,000 CAD",2 beds,1 baths
1075,8 Crete Crt,"$7,880,000 CAD",4+2 beds,5 baths
1076,2 Willow St 61,"$639,700 CAD",2 beds,3 baths
1077,931 Glasgow St 30A,"$399,900 CAD",1 beds,1 baths
1078,107 Concession St 8,"$799,800 CAD",3 beds,3 baths
1079,2240 Lake Shore Blvd 2505,"$719,900 CAD",1+1 beds,1 baths
1080,225 Webb Dr 1906,"$499,000 CAD",1 beds,1 baths
1081,155 Legion Rd 2704,"$989,000 CAD",2+1 beds,2 baths
1082,8110 Birchmount Rd 1101E,"$797,700 CAD",2+1 beds,2 baths
1083,4620 Highway 7 Rd #301,"$899,000 CAD",2 beds,2 baths
1084,277 South Park Rd 1106,"$799,000 CAD",2 beds,2 baths
1085,4091 Sheppard Ave 603,"$399,000 CAD",2 beds,1 baths
1086,1 Town Centre Crt,"$699,900 CAD",3 beds,2 baths
1087,1 Falaise Rd 401,"$529,900 CAD",1+1 beds,1 baths
1088,2799 Kingston Rd 922,"$1,200,000 CAD",3 beds,3 baths
1089,5 Bards Walkway Walk,"$699,900 CAD",3 beds,3 baths
1090,50 Bruyeres Mews 1513,"$599,000 CAD",1 beds,1 baths
1091,11 St Joseph St 1705,"$959,000 CAD",2 beds,2 baths
1092,1836 Lakeshore Rd,"$999,900 CAD",2 beds,1 baths
1093,1 Hamilton Dr,"$969,900 CAD",3 beds,3 baths
1094,2760 Chippawa Rd,"$998,000 CAD",4 beds,4 baths
1095,35 Bowes St,"$399,000 CAD",4 beds,2 baths
1096,19 Patterson Dr,"$899,000 CAD",3+1 beds,4 baths
1097,262 South Trent St,"$499,900 CAD",3 beds,2 baths
1098,555106 Mono-Amaranth Line,"$949,000 CAD",0 beds,0 baths
1099,116 Lydia St,"$699,900 CAD",3 beds,2 baths
1100,129 Sycamore St,"$1,099,000 CAD",3 beds,3 baths
1101,3157 Seventh Ave,"$1,490,000 CAD",5 beds,2 baths
1102,3354 Highway 35,"$899,900 CAD",3+1 beds,3 baths
1103,1210 Hansler Rd,"$1,249,900 CAD",4+1 beds,4 baths
1104,9 Lowrey Ave,"$599,000 CAD",3 beds,1 baths
1105,71 Bond St,"$599,900 CAD",3+1 beds,2 baths
1106,36 Pickett Pl,"$1,399,999 CAD",4+1 beds,5 baths
1107,173 Highlands Blvd,"$799,900 CAD",4 beds,3 baths
1108,24 Dressage Tr,"$1,159,000 CAD",4 beds,3 baths
1109,42 Jayla Lane,"$789,900 CAD",3 beds,3 baths
1110,49 York St,"$699,999 CAD",3 beds,3 baths
1111,49 Yorkshire Dr,"$1,100,000 CAD",4 beds,3 baths
1112,507 Albert St,"$569,000 CAD",3+1 beds,2 baths
1113,463 Hughes Landing Rd,"$1,499,900 CAD",3 beds,2 baths
1114,3622 Queen St,"$349,000 CAD",3+1 beds,2 baths
1115,7192 Sidey Dr,"$524,900 CAD",2 beds,1 baths
1116,36 Elginfield Dr,"$649,900 CAD",3 beds,2 baths
1117,46 Clearview Dr,"$989,900 CAD",2+2 beds,4 baths
1118,410 Ridge Rd 6,"$549,900 CAD",2 beds,2 baths
1119,4020 Crown St,"$929,000 CAD",3 beds,3 baths
1120,7604 Mud St,"$1,199,900 CAD",4 beds,1 baths
1121,421 East 42nd St,"$795,000 CAD",3 beds,2 baths
1122,117 Springview Dr,"$1,699,900 CAD",4+1 beds,4 baths
1123,522 Alexis Crt,"$1,299,999 CAD",3+1 beds,4 baths
1124,28 Hendricks Cres,"$1,500,000 CAD",4+2 beds,4 baths
1125,4 Notman Way,"$1,099,000 CAD",4+1 beds,4 baths
1126,921 Sprague Pl,"$799,000 CAD",2 beds,3 baths
1127,2031 Mountain Grove Ave,"$1,250,000 CAD",3 beds,2 baths
1128,2165 Margot St,"$1,449,000 CAD",4 beds,4 baths
1129,116 Twenty Second St,"$2,688,000 CAD",6+3 beds,6 baths
1130,14065 Kennedy Rd,"$1,899,000 CAD",4+3 beds,4 baths
1131,3945 Brandon Gate,"$1,599,000 CAD",5 beds,3 baths
1132,20 Juliana Crt,"$999,000 CAD",3 beds,2 baths
1133,213 John St,"$799,000 CAD",3+1 beds,2 baths
1134,323 Perry Rd,"$809,900 CAD",3 beds,3 baths
1135,42 Ryecroft Cres,"$1,599,900 CAD",4+2 beds,6 baths
1136,57 Hardwick Crt,"$1,699,000 CAD",4+1 beds,5 baths
1137,40 Hollowgrove Blvd,"$1,049,000 CAD",3+1 beds,4 baths
1138,2435 Greenwich Dr 71,"$799,000 CAD",2+1 beds,2 baths
1139,185 Mount Olive Dr,"$899,000 CAD",3 beds,2 baths
1140,12 Confederation St,"$799,900 CAD",2+1 beds,1 baths
1141,170 Lambton Ave,"$899,000 CAD",4+1 beds,3 baths
1142,49 The Greenery,"$1,349,000 CAD",3 beds,3 baths
1143,56 Madelaine Cres,"$1,150,000 CAD",4 beds,3 baths
1144,73 Delrex Blvd,"$1,099,900 CAD",3+1 beds,3 baths
1145,211 Butterfly Lane,"$1,899,000 CAD",4 beds,3 baths
1146,30 Swansea Meadows Dr,"$1,399,000 CAD",4+2 beds,4 baths
1147,369 Lara Wood,"$999,000 CAD",4+1 beds,3 baths
1148,84 Quillberry Clse,"$1,089,900 CAD",3 beds,3 baths
1149,134 Naperton Dr,"$1,499,000 CAD",4+1 beds,4 baths
1150,107 Hemlock St,"$899,999 CAD",2+1 beds,2 baths
1151,56 Woolridge Crt,"$1,299,000 CAD",3+2 beds,4 baths
1152,682 Maclaren Dr,"$1,199,900 CAD",3+1 beds,2 baths
1153,3900 Lodi Rd,"$1,799,999 CAD",5 beds,5 baths
1154,285 Pacific Ave,"$1,499,000 CAD",3 beds,2 baths
1155,154 Rustic Rd,"$1,377,700 CAD",3+1 beds,3 baths
1156,119 Richwood Cres,"$899,000 CAD",3 beds,3 baths
1157,28 Third St,"$2,999,900 CAD",8+2 beds,6 baths
1158,20 Hillview Cres,"$1,599,000 CAD",4+2 beds,5 baths
1159,886 Sixth St,"$1,995,000 CAD",3 beds,3 baths
1160,79 39th St,"$649,900 CAD",3 beds,2 baths
1161,1607 Rimkey Cres,"$1,399,900 CAD",3 beds,2 baths
1162,20 Blue Forest Cres,"$899,999 CAD",3 beds,3 baths
1163,18 Blue Forest Cres,"$899,999 CAD",3 beds,3 baths
1164,50 Michelle Dr,"$549,000 CAD",3 beds,2 baths
1165,38 Blue Forest Cres B3Lt12,"$949,000 CAD",3 beds,3 baths
1166,485 Peel St,"$939,900 CAD",3 beds,3 baths
1167,111 Strabane Ave,"$799,900 CAD",3+1 beds,2 baths
1168,1117 Fox Farm Rd,"$669,999 CAD",2 beds,1 baths
1169,19 Ardwold Gate,"$3,188,000 CAD",5+1 beds,7 baths
1170,26 Sir Giancarlo Crt,"$2,890,000 CAD",5+1 beds,8 baths
1171,35 Morgan Ave,"$1,480,000 CAD",2+1 beds,2 baths
1172,25655 Maple Beach Rd,"$799,000 CAD",2+2 beds,2 baths
1173,58 Woodroof Cres,"$999,000 CAD",3 beds,3 baths
1174,7 Hawkes Dr,"$998,000 CAD",3 beds,4 baths
1175,158 Bentoak Cres,"$1,599,000 CAD",4+1 beds,5 baths
1176,20 Cliff Thompson Cres,"$1,249,990 CAD",2 beds,2 baths
1177,2 Harness Circ,"$1,299,000 CAD",4+1 beds,4 baths
1178,11 Amstel Ave,"$1,499,000 CAD",4+2 beds,5 baths
1179,37 Theresa Circ,"$3,790,000 CAD",4+3 beds,6 baths
1180,31 Mountbatten Rd,"$1,499,000 CAD",3+1 beds,4 baths
1181,34 Albert St,"$749,900 CAD",2+2 beds,2 baths
1182,44 River Bend Rd,"$3,888,888 CAD",4+1 beds,6 baths
1183,152 Maplegrove Ave,"$899,000 CAD",4+1 beds,4 baths
1184,227 Mingay Ave,"$1,688,000 CAD",4+2 beds,6 baths
1185,2654 Wilson Pl,"$299,000 CAD",0 beds,0 baths
1186,359 Wood Duck Lane,"$999,000 CAD",4 beds,4 baths
1187,124 Savage Rd,"$1,180,000 CAD",4 beds,3 baths
1188,45 Albert Roffey Cres,"$1,299,900 CAD",3+1 beds,4 baths
1189,16 Stockdale Cres,"$2,786,000 CAD",5+3 beds,6 baths
1190,12 Aubrietia Crt,"$3,188,000 CAD",5 beds,6 baths
1191,122 May Ave,"$1,988,000 CAD",4+2 beds,4 baths
1192,65 Cooks Bay Dr,"$799,900 CAD",3 beds,1 baths
1193,5 Awesome Again Lane,"$5,580,000 CAD",3+2 beds,8 baths
1194,17 Durango Dr,"$1,588,000 CAD",4 beds,4 baths
1195,490 Dieppe Ave,"$749,000 CAD",3+2 beds,2 baths
1196,222 Hamilton St,"$1,249,000 CAD",3+1 beds,4 baths
1197,212 Lake Drive Way,"$1,000,000 CAD",3+1 beds,4 baths
1198,248 Coronation Dr,"$990,000 CAD",4 beds,3 baths
1199,13 Thyra Ave,"$999,000 CAD",2 beds,1 baths
1200,1675 William Lott Dr,"$1,499,900 CAD",4 beds,4 baths
1201,120 Harcourt Ave,"$1,289,000 CAD",4 beds,3 baths
1202,29 Filly Path,"$699,000 CAD",4 beds,3 baths
1203,2208 Sunflower Rd,"$999,990 CAD",3+2 beds,5 baths
1204,817 Sanok Dr,"$849,999 CAD",3+2 beds,3 baths
1205,35 Westacott Cres,"$1,500,000 CAD",5 beds,5 baths
1206,148 Oshawa Blvd,"$569,900 CAD",2+2 beds,2 baths
1207,60 King Edward Ave,"$799,000 CAD",1+1 beds,2 baths
1208,49 Erinlea Cres,"$999,000 CAD",3+1 beds,2 baths
1209,809 Fairview Ave,"$1,799,000 CAD",4+1 beds,4 baths
1210,18 Sedgemoor St,"$849,000 CAD",4 beds,3 baths
1211,328 Moore Park Ave,"$1,499,000 CAD",3+1 beds,3 baths
1212,148 Fairlawn Ave,"$1,499,000 CAD",3+1 beds,3 baths
1213,36 Madawaska Ave,"$1,388,000 CAD",2+4 beds,2 baths
1214,590 Delaware Ave,"$1,350,000 CAD",3+1 beds,3 baths
1215,570 Vaughan Rd,"$1,088,000 CAD",2+1 beds,2 baths
1216,32 Duke St 705,"$469,990 CAD",1 beds,1 baths
1217,32 Duke St 1108,"$419,990 CAD",1 beds,1 baths
1218,109 Stuart Crt 3,"$1,095,000 CAD",3 beds,3 baths
1219,205 Fane St 3A,"$198,000 CAD",2 beds,2 baths
1220,2280 Marine Dr,"$965,000 CAD",3 beds,2 baths
1221,1180 Mississauga Valley Blvd 2,"$749,000 CAD",3 beds,3 baths
1222,2 Old Mill Dr 524,"$799,000 CAD",1+1 beds,2 baths
1223,3533 Derry Rd 606,"$498,900 CAD",2 beds,1 baths
1224,3140 Fifth Line 8,"$899,000 CAD",3 beds,3 baths
1225,65 Annie Craig Dr 308,"$898,888 CAD",2 beds,2 baths
1226,7 Mabelle Ave 2305,"$549,900 CAD",1 beds,1 baths
1227,200 Malta Ave 70,"$849,900 CAD",3+1 beds,3 baths
1228,70 Annie Craig Dr 4606,"$989,000 CAD",2 beds,2 baths
1229,105 The Queensway Ave 3404,"$619,000 CAD",1+1 beds,1 baths
1230,2315 Bromsgrove Rd 29,"$799,900 CAD",3 beds,2 baths
1231,1588 South Parade Crt 67,"$799,999 CAD",3+1 beds,3 baths
1232,3888 Duke Of York Blvd 819,"$785,000 CAD",2+1 beds,2 baths
1233,4055 Parkside Village Dr 331,"$549,900 CAD",1 beds,1 baths
1234,166 Owen St 203,"$449,900 CAD",2 beds,1 baths
1235,396 Highway 7 Ave 215,"$840,000 CAD",2 beds,2 baths
1236,481 Rupert Ave 2220,"$549,900 CAD",1+1 beds,1 baths
1237,8763 Bayview Ave 709,"$749,000 CAD",2+1 beds,2 baths
1238,40 Harding Blvd 902,"$888,888 CAD",2 beds,2 baths
1239,175 Millway Ave 709,"$599,900 CAD",1 beds,1 baths
1240,117 Sunset Blvd,"$939,900 CAD",2+2 beds,4 baths
1241,2908 Highway 7 Rd 2210,"$599,000 CAD",1 beds,2 baths
1242,350 Red Maple Rd 707,"$649,900 CAD",2+1 beds,1 baths
1243,75 Oneida Cres Ph10,"$589,000 CAD",1+1 beds,1 baths
1244,20 Dunsheath Way 311,"$699,000 CAD",2 beds,2 baths
1245,9075 Jane St,"$655,000 CAD",1 beds,2 baths
1246,2916 Highway 7 Rd 3508,"$835,000 CAD",2 beds,2 baths
1247,2916 Highway 7 Rd 909,"$559,000 CAD",1 beds,1 baths
1248,60 Brian Harrison Way 2305,"$499,999 CAD",1+1 beds,1 baths
1249,200 Bridletowne Circ 20,"$799,000 CAD",3+1 beds,2 baths
1250,101 Glen Manor Dr Th 10,"$1,199,000 CAD",2+1 beds,2 baths
1251,225 Sumach St 2009,"$899,900 CAD",2 beds,2 baths
1252,44 St Joseph St 1803,"$800,000 CAD",1+1 beds,1 baths
1253,80 Harrison Garden Blvd 2316,"$849,900 CAD",2 beds,2 baths
1254,199 Richmond St 1106,"$699,900 CAD",1+1 beds,1 baths
1255,251 Jarvis St 920,"$619,000 CAD",1+1 beds,1 baths
1256,1 Avondale Ave 604,"$649,000 CAD",1+1 beds,2 baths
1257,1360 York Mills Rd 204,"$398,888 CAD",2+1 beds,1 baths
1258,8 Rean Dr 1801,"$678,888 CAD",2+1 beds,2 baths
1259,530 St Clair Ave 201,"$699,000 CAD",1+1 beds,1 baths
1260,197 Yonge St 5508,"$688,000 CAD",0 beds,1 baths
1261,88 Cumberland St 2302,"$1,599,900 CAD",2 beds,3 baths
1262,2 Forest Hill Rd 411,"$1,944,900 CAD",1+1 beds,2 baths
1263,2136 Bayview Ave,"$1,188,800 CAD",3+1 beds,3 baths
1264,19 Grand Trunk Cres 1611,"$1,029,900 CAD",2 beds,2 baths
1265,15 Merchants Wharf 619,"$538,000 CAD",1 beds,1 baths
1266,78 Harrison Garden Blvd 1505,"$599,900 CAD",1 beds,1 baths
1267,5444 Yonge St 1703,"$1,048,000 CAD",2+1 beds,2 baths
1268,11 Lillian St 1208,"$739,000 CAD",1+1 beds,2 baths
1269,70 Queens Wharf Rd 2601,"$599,800 CAD",1+1 beds,1 baths
1270,20 Bruyeres Mews 305,"$499,000 CAD",1 beds,1 baths
1271,45 Charles St Parking,"$60,000 CAD",0 beds,0 baths
1272,38 Forest Manor Rd 320,"$745,000 CAD",2 beds,2 baths
1273,150 East Liberty St 1208,"$499,000 CAD",0 beds,1 baths
1274,231 Fort York Blvd 1708,"$549,000 CAD",1 beds,1 baths
1275,993 Queen St 219,"$1,200,000 CAD",1 beds,1 baths
1276,160 The Donway 202,"$429,000 CAD",2 beds,1 baths
1277,60 Bathurst St 504,"$999,000 CAD",1 beds,2 baths
1278,30 Elm Ave 210,"$695,000 CAD",1 beds,1 baths
1279,701 Sheppard Ave Ph#801,"$1,090,000 CAD",2+1 beds,2 baths
1280,1 The Esplanade Dr #1308,"$999,999 CAD",2 beds,2 baths
1281,68 Abell St 536,"$499,900 CAD",1 beds,1 baths
1282,36 Jayla Lane,"$789,000 CAD",3 beds,3 baths
1283,54 Madison Ave,"$699,000 CAD",3+2 beds,2 baths
1284,141 Harpin Way,"$989,900 CAD",3 beds,3 baths
1285,109 Kinsey Pl,"$1,200,000 CAD",3 beds,2 baths
1286,170 Greenbriar Rd,"$1,389,000 CAD",3+2 beds,4 baths
1287,24 Blackburn Lane,"$1,100,000 CAD",4+1 beds,4 baths
1288,709 Kingston Mills Rd,"$399,900 CAD",1+1 beds,1 baths
1289,115 Gay Cres,"$1,000,000 CAD",4+2 beds,5 baths
1290,97 Churchill St,"$599,000 CAD",3+1 beds,2 baths
1291,90 Trafalgar Rd,"$1,899,000 CAD",2 beds,2 baths
1292,91 Barons Ave,"$799,999 CAD",3+1 beds,2 baths
1293,1193 Huntington Circ,"$549,900 CAD",3 beds,2 baths
1294,164 Silverthorne Dr,"$799,999 CAD",3 beds,3 baths
1295,21 Nova Dr,"$599,500 CAD",3 beds,2 baths
1296,10 Jones St,"$575,000 CAD",3 beds,2 baths
1297,62 Nova Dr,"$885,000 CAD",3 beds,2 baths
1298,7285 #3 Hwy,"$599,900 CAD",4 beds,1 baths
1299,18245 Highway 60,"$700,000 CAD",2+3 beds,2 baths
1300,27 Buffalo St,"$489,900 CAD",5 beds,2 baths
1301,182 Ray St,"$674,900 CAD",1+2 beds,2 baths
1302,21 Anderson Ave,"$1,599,000 CAD",4 beds,3 baths
1303,5724 Arthur St,"$599,999 CAD",3+1 beds,2 baths
1304,1225 Highway 54,"$999,000 CAD",4 beds,2 baths
1305,9 Keys Cres,"$1,699,000 CAD",4+2 beds,4 baths
1306,19501 Forrester Rd,"$145,000 CAD",0 beds,0 baths
1307,165 Division St 117,"$899,900 CAD",2 beds,3 baths
1308,5 Iona Crt,"$898,000 CAD",3+2 beds,3 baths
1309,51 Delmar Dr,"$799,999 CAD",3 beds,1 baths
1310,41 Ravine Dr,"$899,000 CAD",3 beds,4 baths
1311,104 Cedar St,"$599,900 CAD",3+1 beds,2 baths
1312,1133 Tryon Dr,"$1,499,900 CAD",3+1 beds,3 baths
1313,2103 Baker Dr,"$1,479,000 CAD",4+2 beds,5 baths
1314,1117 Staghorn Crt,"$1,128,800 CAD",4 beds,3 baths
1315,2006 Trawden Way 9,"$999,888 CAD",3+1 beds,5 baths
1316,310 Weston Rd,"$899,999 CAD",3+5 beds,2 baths
1317,11 Eagle Rd,"$1,599,000 CAD",4+1 beds,4 baths
1318,71 Huntingwood Cres,"$750,000 CAD",3 beds,1 baths
1319,2378 Dalebrook Dr,"$1,199,900 CAD",3 beds,3 baths
1320,32 Fuller Ave,"$1,200,000 CAD",5+1 beds,4 baths
1321,30 Somerset Dr,"$899,000 CAD",3+1 beds,3 baths
1322,1884 Briarcrook Cres,"$1,249,000 CAD",3 beds,3 baths
1323,2390 Speyside Dr,"$1,300,000 CAD",4 beds,2 baths
1324,422 Marlatt Dr,"$999,000 CAD",3 beds,4 baths
1325,430 Woodlawn Cres,"$1,099,900 CAD",3 beds,3 baths
1326,46 Ingleview Dr,"$2,599,900 CAD",6+1 beds,4 baths
1327,3204 Parkerhill Rd,"$1,589,000 CAD",4+2 beds,3 baths
1328,234 Woodley Cres,"$829,000 CAD",3 beds,2 baths
1329,1346 Ravine Dr,"$1,699,000 CAD",4 beds,3 baths
1330,48 Mount Fuji Cres,"$1,089,000 CAD",3+1 beds,4 baths
1331,21 Antrim Crt,"$1,599,000 CAD",4 beds,3 baths
1332,2422 Robin Dr,"$2,398,000 CAD",4+1 beds,3 baths
1333,16 Caliper Rd,"$1,149,000 CAD",4+1 beds,4 baths
1334,2128 Eighth Line,"$1,749,000 CAD",4+1 beds,4 baths
1335,31 Upper Canada Crt,"$1,295,000 CAD",3+1 beds,3 baths
1336,25 Leadenhall Rd,"$1,249,900 CAD",4 beds,3 baths
1337,438 Pringle Ave,"$1,388,800 CAD",4 beds,3 baths
1338,1437 Chretien St,"$1,249,900 CAD",4 beds,4 baths
1339,136 Calm Waters Cres,"$1,099,000 CAD",3+1 beds,4 baths
1340,56 David St,"$895,000 CAD",2 beds,1 baths
1341,6 Davick Dr,"$2,899,000 CAD",4+1 beds,5 baths
1342,36 Second St,"$1,099,000 CAD",3+2 beds,4 baths
1343,21 Danesbury Cres,"$999,990 CAD",4+1 beds,3 baths
1344,4043 Bayview Ave,"$799,900 CAD",3+1 beds,2 baths
1345,29 Brushwood Cres,"$975,000 CAD",3+1 beds,4 baths
1346,92 Lillian Cres,"$750,000 CAD",3+3 beds,3 baths
1347,24 Noraline Ave,"$999,000 CAD",3 beds,6 baths
1348,1959 Peninsula Point Rd # 11,"$415,000 CAD",2 beds,1 baths
1349,14 Sulky Dr,"$699,900 CAD",3+1 beds,3 baths
1350,29 Champlain Cres,"$595,000 CAD",3+1 beds,2 baths
1351,11 Rundle Cres,"$699,900 CAD",2+2 beds,2 baths
1352,35 College Cres,"$879,900 CAD",3 beds,3 baths
1353,235 Clayborne Pl,"$619,900 CAD",3+2 beds,2 baths
1354,12 Waddington Cres,"$799,900 CAD",2+2 beds,2 baths
1355,349 Torrey Pines Rd,"$3,880,000 CAD",5+2 beds,6 baths
1356,63 Waite Cres,"$1,388,000 CAD",4+1 beds,4 baths
1357,901 Adams Rd,"$1,295,000 CAD",3 beds,2 baths
1358,229 Holladay Dr,"$1,299,000 CAD",4 beds,3 baths
1359,12 Mill St,"$899,000 CAD",3 beds,2 baths
1360,1019 Green St,"$1,499,900 CAD",4 beds,5 baths
1361,13 Wenderly Dr,"$1,099,000 CAD",3 beds,2 baths
1362,42 Millard Ave,"$1,100,000 CAD",3+2 beds,2 baths
1363,1878 St Johns Rd,"$899,000 CAD",2 beds,2 baths
1364,22 Shasta Dr,"$3,499,000 CAD",6+1 beds,6 baths
1365,99 Hunterwood Chse,"$3,800,000 CAD",4 beds,5 baths
1366,371 Raines St,"$1,199,000 CAD",5 beds,4 baths
1367,195 Gormley Rd,"$1,499,000 CAD",4 beds,2 baths
1368,21372 Highway 48 Rd,"$3,899,000 CAD",5+1 beds,6 baths
1369,8 Ingram Rd,"$1,388,000 CAD",4+2 beds,3 baths
1370,147 Burkholder St,"$1,299,900 CAD",3+2 beds,2 baths
1371,74 Glasgow Cres,"$799,000 CAD",3+1 beds,4 baths
1372,26 Cupola Cres,"$1,798,888 CAD",4 beds,3 baths
1373,178 Lawrence Ave,"$1,299,000 CAD",2 beds,1 baths
1374,15625 Highway 48 Rd,"$1,388,000 CAD",3+1 beds,2 baths
1375,33 Garnish Green,"$1,549,000 CAD",4 beds,3 baths
1376,42 Kingshill Rd,"$1,288,000 CAD",3+1 beds,5 baths
1377,119 Ben Sinclair Ave,"$1,299,000 CAD",4 beds,4 baths
1378,22 Fitzwilliam Ave,"$1,288,000 CAD",4 beds,4 baths
1379,138 Jordanray Blvd,"$999,900 CAD",3 beds,3 baths
1380,42 Coulson Ave,"$619,900 CAD",3 beds,1 baths
1381,2428 Dress Circle Cres,"$1,399,000 CAD",4 beds,4 baths
1382,1110 Ridgewood Crt,"$1,450,000 CAD",5+2 beds,4 baths
1383,51 Wolverleigh Blvd,"$899,000 CAD",3 beds,1 baths
1384,55 Curzon St,"$999,000 CAD",4 beds,2 baths
1385,435 Addison St,"$649,900 CAD",3+2 beds,2 baths
1386,7 Ilfracombe Cres,"$999,999 CAD",3+1 beds,2 baths
1387,792 Gerrard St,"$1,399,000 CAD",3 beds,3 baths
1388,19 Willoughby Pl,"$1,099,000 CAD",4 beds,4 baths
1389,47 Epsom Ave,"$1,249,000 CAD",3 beds,2 baths
1390,73 Virginia Ave,"$1,199,900 CAD",3+1 beds,3 baths
1391,66 Shandon Dr,"$1,188,000 CAD",2+1 beds,2 baths
1392,201 Edward St,"$699,900 CAD",3+1 beds,4 baths
1393,805 Modlin Rd,"$999,000 CAD",4 beds,2 baths
1394,32 Burningham Cres,"$999,000 CAD",3+2 beds,2 baths
1395,1804 Storrington St,"$1,249,000 CAD",3 beds,3 baths
1396,97 Wilmot Tr,"$469,000 CAD",2 beds,2 baths
1397,40 Sydenham St,"$998,000 CAD",3+1 beds,2 baths
